"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"300";;;
2;"C1";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"100p";;;
3;"D1,D2,D6,D7,D10,D11";"D_A-405_P5.08mm_Vertical_AnodeUp";6;"1N914";;;
4;"J1,J2";"TerminalBlock_bornier-3_P5.08mm";2;"Conn_01x03_Male";;;
5;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"Conn_01x02_Male";;;
6;"R1,R4,R7,R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"12k";;;
7;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1k";;;
8;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100";;;
9;"V4,V5,V9,V12,V14";"TO-92";5;"BC547";;;
10;"V8,V13";"TO-92";2;"BC557";;;
